# Program:featureCounts v2.0.0; Command:"/bioapp/subread-2.0.0-source/bin/featureCounts" "-a" "/Dydaktyka/sample_data/refs/ERCC92.gtf" "-g" "gene_name" "-o" "counts_ERCC92.txt" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_1.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_2.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_3.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_1.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_2.bam" "/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_3.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_1.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_2.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/HBR_3.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_1.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_2.bam	/home/bioinformatyka/s119494/BAM_indeks/BAM_FILES/UHR_3.bam
ERCC-00002	ERCC-00002	1	1061	+	1061	37892	47258	42234	39986	25978	33998
ERCC-00003	ERCC-00003	1	1023	+	1023	2904	3170	3038	3488	2202	2680
ERCC-00004	ERCC-00004	1	523	+	523	910	1078	996	9200	6678	7396
ERCC-00009	ERCC-00009	1	984	+	984	638	778	708	1384	954	1108
ERCC-00012	ERCC-00012	1	994	+	994	0	0	0	2	0	0
ERCC-00013	ERCC-00013	1	808	+	808	0	0	0	4	4	0
ERCC-00014	ERCC-00014	1	1957	+	1957	26	20	8	20	4	16
ERCC-00016	ERCC-00016	1	844	+	844	0	0	0	0	0	0
ERCC-00017	ERCC-00017	1	1136	+	1136	0	0	0	0	0	2
ERCC-00019	ERCC-00019	1	644	+	644	6	10	4	26	22	24
ERCC-00022	ERCC-00022	1	751	+	751	298	328	326	402	198	306
ERCC-00024	ERCC-00024	1	536	+	536	0	0	0	0	0	0
ERCC-00025	ERCC-00025	1	1994	+	1994	160	158	120	266	194	216
ERCC-00028	ERCC-00028	1	1130	+	1130	4	0	0	12	16	10
ERCC-00031	ERCC-00031	1	1138	+	1138	0	2	8	8	0	0
ERCC-00033	ERCC-00033	1	2022	+	2022	0	0	0	0	0	6
ERCC-00034	ERCC-00034	1	1019	+	1019	16	32	24	38	14	36
ERCC-00035	ERCC-00035	1	1130	+	1130	94	156	114	256	130	202
ERCC-00039	ERCC-00039	1	740	+	740	2	2	6	8	6	2
ERCC-00040	ERCC-00040	1	744	+	744	0	0	0	0	0	2
ERCC-00041	ERCC-00041	1	1122	+	1122	0	2	2	0	0	0
ERCC-00042	ERCC-00042	1	1023	+	1023	658	758	682	1462	1062	1346
ERCC-00043	ERCC-00043	1	1023	+	1023	1714	1958	1848	2178	1450	1736
ERCC-00044	ERCC-00044	1	1156	+	1156	220	324	242	360	206	256
ERCC-00046	ERCC-00046	1	522	+	522	3154	3346	3166	3814	2504	2938
ERCC-00048	ERCC-00048	1	992	+	992	0	0	0	0	0	0
ERCC-00051	ERCC-00051	1	274	+	274	4	0	4	18	10	4
ERCC-00053	ERCC-00053	1	1023	+	1023	28	34	22	54	58	70
ERCC-00054	ERCC-00054	1	274	+	274	4	4	6	6	0	2
ERCC-00057	ERCC-00057	1	1021	+	1021	0	0	0	0	0	0
ERCC-00058	ERCC-00058	1	1136	+	1136	2	14	10	2	6	6
ERCC-00059	ERCC-00059	1	525	+	525	22	16	30	28	14	12
ERCC-00060	ERCC-00060	1	523	+	523	186	204	200	474	334	336
ERCC-00061	ERCC-00061	1	1136	+	1136	0	0	0	0	0	0
ERCC-00062	ERCC-00062	1	1023	+	1023	26	24	8	194	114	160
